,,insert,search,level,總copy數,平均copy數
10,1024,0.000759,0.019319,2,123,0.1201171875
11,2048,0.000583,0.016553,3,248,0.12109375
12,4096,0.001387,0.024486,3,463,0.113037109375
13,8192,0.002945,0.030294,3,914,0.111572265625
14,16384,0.009141,0.041276,3,1843,0.11248779296875
15,32768,0.0231,0.052837,4,3599,0.109832763671875
16,65536,0.045516,0.071119,4,7215,0.110092163085938
17,131072,0.107218,0.101443,5,14411,0.109947204589844
18,262144,0.334104,0.160903,5,28818,0.109931945800781
19,524288,0.85736,0.22827,6,58224,0.111053466796875
20,1048576,2.19273,0.296164,6,115868,0.110500335693359
21,2097152,5.76011,0.349317,6,231631,0.110450267791748
22,4194304,13.4886,0.380311,6,464960,0.110855102539063
23,8388608,30.7579,0.455168,7,930399,0.110912203788757
24,16777216,75.4285,0.590667,7,1853171,0.110457599163055
25,33554432,189.835,0.724668,6,3690233,0.109977513551712
26,67108864,466.227,0.843505,7,7332348,0.109260499477386
27,134217728,2776.18,19.0058,8,14442123,0.107602201402187
